"dept","id","year","term","link"
"ANTH","674","2022","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ANTH_674_2022_Fall.pdf"
"ATS","543","2019","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ATS_543_2019_Fall.pdf"
"ATS","543","2023","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/ATS_543_2023_Fall.pdf"
"BZ","505","2012","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_505_2012_Spring.pdf"
"BZ","505","2015","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_505_2015_Fall.pdf"
"BZ","510","2009","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_510_2009_Spring.pdf"
"BZ","515","2012","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_515_2012_Spring.pdf"
"BZ","515","2016","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_515_2016_Spring.pdf"
"BZ","520","2004","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_520_2004_Spring.pdf"
"BZ","520","2006","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_520_2006_Spring.pdf"
"BZ","520","2008","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_520_2008_Spring.pdf"
"BZ","520","2013","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_520_2013_Spring.pdf"
"BZ","520","2015","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_520_2015_Spring.pdf"
"BZ","525","2010","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_525_2010_Fall.pdf"
"BZ","525","2012","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_525_2012_Fall.pdf"
"BZ","525","2016","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_525_2016_Fall.pdf"
"BZ","526","2013","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_526_2013_Fall.pdf"
"BZ","526","2014","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_526_2014_Fall.pdf"
"BZ","530","1998","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_530_1998_Spring.pdf"
"BZ","530","2004","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_530_2004_Spring.pdf"
"BZ","530","2012","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_530_2012_Spring.pdf"
"BZ","535","1997","Spring","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_535_1997_Spring.pdf"
"BZ","535","1998","Fall","https://colostate-my.sharepoint.com/personal/pengel_colostate_edu/Documents/Apps/Microsoft%20Forms/Syllabus%20Upload%20Form/Question/BZ_535_1998_Fall.pdf"
